City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Osmena,PH,10.5208,119.9258,81.25,79,90,3.74,overcast clouds
80,Sioux Lookout,CA,50.1001,-91.917,67.6,71,11,7.92,few clouds
81,Ushuaia,AR,-54.8,-68.3,51.46,24,0,11.5,clear sky
82,Te Anau,NZ,-45.4167,167.7167,42.98,94,87,1.52,overcast clouds
83,Avarua,CK,-21.2078,-159.775,71.65,88,100,9.22,overcast clouds
84,Gobabis,NA,-22.45,18.9667,65.98,12,0,10.83,clear sky
85,Puerto Lempira,HN,15.2667,-83.7667,87.94,66,40,9.22,scattered clouds
86,Nantucket,US,41.2835,-70.0995,69.94,64,100,11.5,overcast clouds
87,Olafsvik,IS,64.8945,-23.7142,50.9,96,100,14.56,moderate rain
88,Qaanaaq,GL,77.484,-69.3632,22.32,60,100,7.83,overcast clouds
89,Clyde River,CA,70.4692,-68.5914,32.61,73,87,10.58,overcast clouds
90,Hermanus,ZA,-34.4187,19.2345,64.8,71,0,9.28,clear sky
91,Grindavik,IS,63.8424,-22.4338,54.07,94,100,16.11,light intensity drizzle
92,Camacha,PT,33.0833,-16.3333,72.82,78,40,11.5,scattered clouds
93,Avera,US,33.194,-82.5271,85.55,44,0,4.07,clear sky
94,Gushikawa,JP,26.3544,127.8686,78.39,73,75,10.36,broken clouds
95,Jamestown,US,42.097,-79.2353,71.02,58,40,10.36,scattered clouds
96,Ankazobe,MG,-18.3167,47.1167,61.61,73,11,15.26,few clouds
97,Nzerekore,GN,7.7562,-8.8179,77.31,84,69,4.21,light rain
98,Nikolskoye,RU,59.7035,30.7861,53.49,91,100,3.15,overcast clouds
99,San Patricio,US,28.017,-97.5169,89.49,55,6,7.81,clear sky
100,Ahuimanu,US,21.4447,-157.8378,78.51,72,20,9.22,few clouds
101,Toledo,ES,39.8333,-4,86.11,28,1,2.93,clear sky
102,Novobiryusinskiy,RU,56.9578,97.7076,47.26,82,92,14.61,light rain
103,Isangel,VU,-19.55,169.2667,74.21,88,5,7.16,light rain
104,Kropotkin,RU,45.4375,40.5756,70.97,58,91,1.92,overcast clouds
105,Samarai,PG,-10.6167,150.6667,80.04,85,100,11.74,overcast clouds
106,Sao Filipe,CV,14.8961,-24.4956,79.09,76,44,9.64,scattered clouds
107,Hofn,IS,64.2539,-15.2082,52.09,89,54,13.87,broken clouds
108,Dikson,RU,73.5069,80.5464,30.88,76,100,15.61,overcast clouds
109,Saint George,US,37.1041,-113.5841,76.78,33,0,3.44,clear sky
110,Turkistan,KZ,43,68,78.15,20,0,14.34,clear sky
111,Dudinka,RU,69.4058,86.1778,24.62,82,100,6.93,overcast clouds
112,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,85,40,5.01,scattered clouds
113,Yaring,TH,6.8662,101.3689,80.29,80,100,7.7,overcast clouds
114,Harper,LR,4.375,-7.7169,78.69,79,87,13,light rain
115,Energetik,RU,51.7445,58.7934,66.83,21,2,3.36,clear sky
116,Weyburn,CA,49.6668,-103.8511,52.02,66,11,21.85,few clouds
117,Tasiilaq,GL,65.6145,-37.6368,41.16,98,100,11.05,moderate rain
118,Mangrol,IN,21.1167,70.1167,80.2,78,15,9.06,few clouds
119,Khatanga,RU,71.9667,102.5,23.49,90,96,7.2,overcast clouds
120,Araouane,ML,18.9048,-3.5265,103.05,20,38,14.07,scattered clouds
121,Severo-Kurilsk,RU,50.6789,156.125,48.09,74,43,20.15,scattered clouds
122,Cape Town,ZA,-33.9258,18.4232,64.35,57,0,13.8,clear sky
123,Mpwapwa,TZ,-6.35,36.4833,75.52,48,7,8.93,clear sky
124,Inhambane,MZ,-23.865,35.3833,74.26,90,0,16.82,clear sky
125,Ensley,US,30.5188,-87.2728,89.8,57,0,8.05,clear sky
126,Japura,ID,-0.3167,102.35,74.86,92,100,2.17,overcast clouds
127,Loreto,MX,22.2667,-101.9667,67.17,51,44,11.59,scattered clouds
128,Kapaa,US,22.0752,-159.319,77.32,76,20,16.11,few clouds
129,Strezhevoy,RU,60.7333,77.5889,50.25,81,100,7.87,light rain
130,Thompson,CA,55.7435,-97.8558,44.76,100,100,10.36,mist
131,Ponta Do Sol,PT,32.6667,-17.1,79.72,87,58,5.41,light rain
132,Saint-Philippe,RE,-21.3585,55.7679,71.19,84,40,13.73,light rain
133,Zaysan,KZ,47.4667,84.8667,60.12,24,0,7.83,clear sky
134,Butaritari,KI,3.0707,172.7902,80.64,74,100,7.72,light rain
135,Nouadhibou,MR,20.931,-17.0347,80.58,61,14,18.41,few clouds
136,Bengkulu,ID,-3.8004,102.2655,75.31,93,100,4.88,overcast clouds
137,Mataura,NZ,-46.1927,168.8643,46.47,100,100,1.21,overcast clouds
138,Carutapera,BR,-1.195,-46.02,84.49,67,94,9.33,overcast clouds
139,Lebu,CL,-37.6167,-73.65,49.71,66,47,6.33,scattered clouds
140,Somerset East,ZA,-32.7217,25.588,48.96,87,100,5.64,overcast clouds
141,Byron Bay,AU,-28.65,153.6167,59.94,81,99,8.28,overcast clouds
142,Antofagasta,CL,-23.65,-70.4,60.08,63,12,12.06,few clouds
143,Brae,GB,60.3964,-1.353,55.29,89,100,14.52,light rain
144,Port Elizabeth,ZA,-33.918,25.5701,62.31,74,0,4.61,clear sky
145,Ballitoville,ZA,-29.539,31.2144,57.34,88,100,16.11,moderate rain
146,Krasnoselkup,RU,65.7,82.4667,36.21,57,100,8.66,overcast clouds
147,Del Rio,US,29.3627,-100.8968,84.22,75,100,9.22,overcast clouds
148,Alba,PL,52.0324,23.1165,52.36,83,100,6.96,overcast clouds
149,Nyon,CH,46.3832,6.2396,66.29,49,20,8.05,few clouds
150,Mildura,AU,-34.2,142.15,55.36,100,100,8.05,light rain
151,Roanoke,US,37.271,-79.9414,84.31,64,40,8.05,scattered clouds
152,Krasnyy Yar,RU,46.5331,48.3456,72.97,73,5,9.48,clear sky
153,Kodiak,US,57.79,-152.4072,49.51,66,75,9.22,broken clouds
154,Kloulklubed,PW,7.0419,134.2556,75.7,72,64,5.08,broken clouds
155,Show Low,US,34.2542,-110.0298,73.65,52,0,9.22,clear sky
156,Wenling,CN,28.3669,121.36,67.14,81,14,11.61,few clouds
